"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"NEWPORT CLOSED MUNIPAL LANDFILL",29638,"CEMETARY RD","NEWPORT","4.5 ACRE LANDFILL CLOSED IN 1988 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1988 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  4.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  THIS LANDFILL OPERATED PRIOR TO 1976 AND CONTINUED INTO THE 1980S.","POST-1976",44.82093,-69.27645
"ANDOVER LANDFILL",27102,"LANDFILL RD OFF RTE 5","ANDOVER","5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.61607,-70.74882
"LITCHFIELD LANDFILL",27529,"HALLOWELL RD","LITCHFIELD","7.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 7.5 ACRE LANDFILL. HISTORY:  THE LANDFILL BEGAN OPERATION IN 1953.IT WAS MONITORED IN THE EARLY 80'S AND WAS DISCHARGING LEACHATE INTO A NEARBY STREAM. AS OF 1985 THE STATE RECOMMENTED CLOSURE. PRESENT MONITORING DATA WAS NOT AVAILABLE. LISTED AS ACTIVE 9/4/92. FOUND NO EVIDENCE OF CLOSURE, WATER MONITORING OR A CLOSURE PLAN. EC JORDAN REPORT 10/82 NOTES AN IMPACT ON WATER QUALITY BUT NO CONTAINMENT DATA.","POST-1976",44.16498,-69.94131
"BOOTHBAY LANDFILL",29357,"COUNTRY CLUB RD","BOOTHBAY","6 ACRE LANDFILL CLOSED IN 1990 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1990 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   6 ACRE LANDFILL. THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.MONITORING AND CLOSURE PLAN DONE BY KIMBALL CHASE 53 FRONT ST  BATH, MAINE 04530","POST-1976",43.8791,-69.61956
"NEWFIELD LANDFILL",27875,"RTE 11 WATER STREET","NEWFIELD","3 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.. SERVES ONLY 722 PEOPLE.","POST-1976",43.64301,-70.87528
"WALDOBORO DUMP",29557,"OLD ROUTE 1","WALDOBORO","3-ACRE LANDFILL CLOSED TO USE IN 1976 BUT NOT CAPPED IN ACCORDANCE WITH REGULATORY REQUIREMENTS.  REPORTED TO HAVE BEEN COVERED WITH DITCH DIGGINGS.  EXPOSED WASTE PROTRUDES FROM MUCH OF THE STEEP PERIMETER.  TRAIN TRACKS ABUT TO THE WEST. THE WELL SERVING THE CLOSEST RESIDENCE -- ABOUT 500 FEET WEST ALONG OLD ROUTE ONE WAS TESTED IN 2015 AND DID NOT SHOW SIGNS OF LANDFILL INFLUENCE.","THIS 3-ACRE LANDFILL IS A HUMMOCKY MOUND PROTRUDING INTO THE BACK RIVER WETLANDS.  IT IS ABUTTED BY RR TRACKS TO THE WEST, OLD ROUTE ONE TO THE NORTH AND WETLANDS ON THE SOUTH AND EAST.  IT WAS CLOSED TO USE IN 1976 AND COVERED WITH DITCH DIGGINGS ACCORDING TO A NOTE IN DEP FILES.  THE SIDES ARE STEEP, WITH PROTRUDING WASTE READILY VISIBLE BUT THE SITE DOES NOT APPEAR TO POSE A SIGNIFICANT RISK TO PUBLIC HEALTH OR THE ENVIRONMENT GIVEN ITS ISOLATED SETTING.","POST-1976",44.09987,-69.35979
"CUTLER LANDFILL",29690,"RTE 191 NUMBER NINE RD","CUTLER","1.5 ACRE LANDFILL CLOSED IN 1997 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1997 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  1.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.68568,-67.17923
"EASTON LANDFILL",29817,"RTE 1A AND 165","EASTON","5 ACRE LANDFILL CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",46.65652,-67.86723
"ANSON LANDFILL",27838,"PATTERSON BRIDGE RD","ANSON","2.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. OLD OPEN-BURNING DUMP LOCATED IN A GRAVEL PIT.","POST-1976",44.86144,-69.86793
"MACHIAS LANDFILL",29702,"RTE 192 BROADWAY","MACHIAS","2.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  HISTORY: THIS DUMP OPERATED FROM THE 1930'S TILL CLOSING IN 1996.","POST-1976",44.72283,-67.46862
"LAKEVILLE LANDFILL",37962,"BOTTLE LAKE ROAD","LAKEVILLE","OLD DUMP SITE OPERATING IN 1990.","OLD DUMP SITE OPERATING IN 1990.  LOCATION INFO FOR THIS DUMP IS FROM A USGS LOWER PUG LAKE FISH ASSESSMENT FROM 1976: AN OLD ROAD STARTING FROM THE SYSLADOBSIS LAKE ROAD AND PASSING THROUGH THE LOCAL DUMP GOES WITHIN 100 FEET OF THE SANDY COVE ON LOWER PUG POND. THE TWO MILE LONG ROAD IS PASSABLE BY TWO WHEEL DRIVE VEHICLES  BUT EXACTLY WHERE THIS TWO MILE ROAD IS IS UNCERTAIN. SAND COEV IS AT THE SOUTHEAST END OF THE POND","PRE-1976",45.32115,-68.06918
"SOUTH BERWICK TRANSFER STATION - OLD LANDFILL",37963,"AGAMENTICUS RD","SOUTH BERWICK","","TRANSFER STATION BUILT OVER OLD LANDFILL.","POST-1976",43.24099,-70.79005
"PARKERTOWN DUMP",29094,"UNKNOWN","PARKERTOWN TWP","","EXISTENCE OF THIS DUMP AND THIS LOCATION REMAINS TO BE INVESTIGATED (2012). THERE IS NO INFORMATION AND IT MAY BE AN ARTIFACT OF THE ORIGINAL PROGRAM ASSIGMENT OF LOCATIONS.","PRE-1976",45.01033,-70.99174
"OLD HOLLIS DUMP",56045,"NEW COUNTY RD STATE RT 5","HOLLIS","1.25 ACRE  (APPROX.)  LANDFILL CLOSED IN 1983 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1983 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.25 ACRE  (APPROX.).  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  FORMER DUMP. NOW AN EQUESTRIAN TRAINING AREA","PRE-1976",43.56606,-70.62745
"MARS HILL OLD DUMP",79838,"MILL ST","MARS HILL","","ADJACENT TO THE NORTH OF THE MARS HILL LANDFILL","PRE-1976",46.51216,-67.85816
"BROWNVILLE JCT DUMP",29563,"RTE 11 NEAR TEAM BRIDGE","BROWNVILLE","","OLD OPEN-BURNING DUMP ON FLOOD-PLAIN NEXT TO THE PLEASANT RIVER.  CLOSED OR ABANDONED IN THE EARLY '70S. ALSO ADJACENT TO PRESENT DAY BALL FIELD","PRE-1976",45.34949,-69.04921
"MATTAWAMKEAG MUNICIPAL LANDFILL",29634,"DEPOT STREET","MATTAWAMKEAG","2.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.51606,-68.34667
"TRI-COMMUNITY LANDFILL AND RECYCLING",29884,"MURPHY RD","FORT FAIRFIELD","PHASE I: 13 ACRE LANDFILL CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  PHASE II: 13 ACRE ACTIVE LANDFILL.","PHASE I CLOSED BY STANDARD DEP PROCEDURE IN 1999. 13 ACRES. PHASE II, ALSO 13 ACRES IS ACTIVE THROUGH 2015. MAIN GARAGE:  HOLDING TANK CONTENTS NO LONGER GO TO LANDSPREADING FIELD, NOW TO FT. FAIRFIELD WWTF; 2,000 GAL HOLDING TANK WITH ALARM; STORAGE GARAGE: USED FOR WASTE OIL STORAGE AND EQUIPMENT DISCHARGE POINT PIPE TO TOP OF GROUND OIL/WATER SEPARATOR THEN TO HOLDING TANK 4 UIC  TRI-COMMUNITY RECYCLING AND SANITARY LANDFILL RECEIVED A LICENSE TO LANDSPREAD SEPTAGE ON A FIELD 15.6 ACRES OWNED AND OPERATED BY TRI-COMMUNITY RECYCLING. THE MAXIMUM LOADING RATE IS 37,000 GALONS PER ACRE PER YEAR. LICENSED VOLUME CAPACITY OF SEPTAGE IS 577,200 GALLONS PER YEAR. THE STORAGE FACILITY HAS FOUR UNDERGROUND STEEL TANKS(4EA-25,000 GALLON TANKS) WITH A TOTAL STORAGE CAPACITY OF 100,000 GALLONS. THE LICENSE WAS RENEWED 19 MAY 1994 FOR A TERM OF 5 YEARS AND DOES NOT EXPIRE. NOTE: PORTIONS OF THIS SITE HAVE 25 BUFFER ZONES DUE TO PORLY DRAINED SOILS(SEE LICENSE AND AMENDMENTS) CAN/BOTTLE CRUSHER, DRAINS RECEIVE SODA, ETC. - 1,000 GAL TANK, GOES TO FT FAIRFIELD WWTF 2 UIC  DISCHARGE POINT HOLDING TANK  TRI-COMMUNITY RECYCLING AND SANITARY LANDFILL RECEIVED A LICENSE TO LANDSPREAD SEPTAGE ON 1 FIELD TOTALLING 19.59 ACRES, OWNED AND OPERATED BY TRI-COMMUNITY RECYCLING AND SANITARY LANDFILL. THE LICENSE VOLUME CAPACITY OF SEPTAGE IS 578,580 GALLONS PER YEAR. MAXIMUM LOADING RATE IS 37,500 GALLONS PER ACRE PER YEAR ON PERHAM SOILS(14.14 ACRES) AND 12,000 GALLONS PER ACRE PER YEAR(4.45 ACRES) ON DAIGLE SOILS. THE CROP IS HAY. USE OF THE EXISTING SEPTAGE STORAGE FACILITY WHICH CONSISTS OF FOUR 25,000 GALLON STEEL STORAGE TANKS(FROM #S-004838-S3-B-A) IS UNCHANGED BY THIS LICENSE. THE LICENSE WAS ISSUED ON 5 JUNE 1995 FOR A TERM OF 5 YEARS AND DOES NOT EXPIRE.","POST-1976",46.86084,-67.90723
"SHIRLEY LANDFILL",29573,"UPPER SHIRLEYCORNER RD","SHIRLEY","1 ACRE LANDFILL CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVALIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.1 ACRE LANDFILL.   THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.37072,-69.60614
"BELMONT LANDFILL",29403,"OLD CRIE RD","BELMONT","0.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.35878,-69.12918
"LIMINGTON LANDFILL",32301,"PINE HILL RD","LIMINGTON","2.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED FORMERLY  IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  PRIORLY, CLOSED AS A LANDFILL IN MAY OF 1981. HISTORY: THE LIMINGTON LANDFILL OPERATED AS A BURNING DUMP FROM 1957-1977, ALTHOUGH SOME BURNING CONTINUED UNTILL 1979. LANDFILLING WAS BEING PRACTICED AT THE SITE AS OF A 1980 INSPECTION BY DEP. THIS FACILITY INCLUDED AN AREA FOR THE DISPOSAL OF C AND D DEBRIS. SEVERAL AREA WELLS WERE TESTED FOR CONTAMINATION DURING CLOSURE PROCEDURES, BUT IT WAS UNCLEAR WHETHER CONTAMINATION IN THE WELLS WAS PRESENT.","POST-1976",43.73567,-70.69075
"LAMOINE CLOSED MUNICIPAL LANDFILL",29762,"RTE 184","LAMOINE","3.4 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3.4 ACRE LANDFILL.   THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.47145,-68.32639
"THOMASTON WOODDEMO LANDFILL",37953,"ANNA BELLE LANE","THOMASTON","3 ACRE LANDFILL CLOSED IN 1977  THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN.","CLOSED IN 1977.  3 ACRE LANDFILL.   THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN.","POST-1976",44.0878,-69.17333
"CENTER STREET DUMP",37959,"CENTER/NORTH ST INTERSECTION","AUBURN","LANDFILL SIZE, CLOSURE DATE, AND CLOSURE PROCEDURE UNKNOWN","OPERATED LATE 1920'S TO LATE 1940'S. NEAR RIVER. LOCATION A GUESS BASED ON POSSIBLE FILL LAND NEXT TO RIVER AT THAT LOCATION.","PRE-1976",44.10723,-70.22507
"PRINCETON LANDFILL",81481,"EASTERN CUTOFF RD","PRINCETON","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. NOTES: JUST EAST OF TRANSFER STATION. MUNICIPAL DUMP CLOSED IN 1994","POST-1976",45.22762,-67.52964
